,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,Question,DataValue,StratificationCategory1,Stratification1,Population,Total Sq. Mi.,Total Sq. Km.
5701,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,192.3,Gender,Female,6634304.0,"36,420","94,326"
5702,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,90.5,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5703,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5704,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5705,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5706,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,92.5,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5707,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,8.3,Overall,Overall,6634304.0,"36,420","94,326"
5708,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,339.0,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5709,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from coronary heart disease,19.6,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5710,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5711,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,287.0,Gender,Female,6634304.0,"36,420","94,326"
5712,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,165.0,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5713,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,223.6,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5714,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,144.5,Race/Ethnicity,"White, non-Hispanic",6634304.0,"36,420","94,326"
5715,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,6.4,Gender,Male,6634304.0,"36,420","94,326"
5716,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,228.9,Gender,Male,6634304.0,"36,420","94,326"
5717,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,922.6,Gender,Male,6634304.0,"36,420","94,326"
5718,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,572.8,Gender,Female,6634304.0,"36,420","94,326"
5719,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from coronary heart disease,25.3,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5720,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,748.1,Race/Ethnicity,"White, non-Hispanic",6634304.0,"36,420","94,326"
5721,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5722,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,337.3,Race/Ethnicity,"White, non-Hispanic",6634304.0,"36,420","94,326"
5723,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5724,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,59.4,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5725,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,48.0,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5726,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5727,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,16.4,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5728,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,121.8,Gender,Male,6634304.0,"36,420","94,326"
5729,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,277.5,Overall,Overall,6634304.0,"36,420","94,326"
5730,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from coronary heart disease,88.4,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5731,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,210.3,Overall,Overall,6634304.0,"36,420","94,326"
5732,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,268.1,Gender,Female,6634304.0,"36,420","94,326"
5733,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from coronary heart disease,142.7,Gender,Male,6634304.0,"36,420","94,326"
5734,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,287.2,Gender,Male,6634304.0,"36,420","94,326"
5735,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,343.1,Gender,Male,6634304.0,"36,420","94,326"
5736,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from total cardiovascular diseases,310.7,Race/Ethnicity,"White, non-Hispanic",6634304.0,"36,420","94,326"
5737,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from heart failure,132.7,Gender,Female,6634304.0,"36,420","94,326"
5738,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5739,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,46.0,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5740,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5741,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,American Indian or Alaska Native,6634304.0,"36,420","94,326"
5742,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5743,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Asthma mortality rate,10.1,Gender,Female,6634304.0,"36,420","94,326"
5744,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,41.1,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5745,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,313.5,Overall,Overall,6634304.0,"36,420","94,326"
5746,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,276.7,Race/Ethnicity,Asian or Pacific Islander,6634304.0,"36,420","94,326"
5747,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Mortality from diseases of the heart,36.5,Race/Ethnicity,Hispanic,6634304.0,"36,420","94,326"
5748,IN,2016,132281876,5929805,409760,253087,14,12,5,0.043927419,Premature mortality among adults aged 45-64 years,1023.0,Race/Ethnicity,"Black, non-Hispanic",6634304.0,"36,420","94,326"
5749,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,14.5,Gender,Female,6658078.0,"36,420","94,326"
5750,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,31.1,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5751,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,56.1,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5752,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,156.4,Gender,Female,6658078.0,"36,420","94,326"
5753,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,352.8,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5754,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,214.7,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5755,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,140.5,Gender,Female,6658078.0,"36,420","94,326"
5756,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,216.7,Overall,Overall,6658078.0,"36,420","94,326"
5757,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,196.3,Gender,Female,6658078.0,"36,420","94,326"
5758,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,153.3,Gender,Male,6658078.0,"36,420","94,326"
5759,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,154.9,Overall,Overall,6658078.0,"36,420","94,326"
5760,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,88.3,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5761,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,19.8,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5762,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5763,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,588.2,Gender,Female,6658078.0,"36,420","94,326"
5764,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,311.9,Gender,Female,6658078.0,"36,420","94,326"
5765,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,129.5,Gender,Male,6658078.0,"36,420","94,326"
5766,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,298.8,Gender,Male,6658078.0,"36,420","94,326"
5767,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5768,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,754.8,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5769,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,120.3,Overall,Overall,6658078.0,"36,420","94,326"
5770,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5771,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,174.8,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5772,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5773,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,326.8,Overall,Overall,6658078.0,"36,420","94,326"
5774,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5775,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5776,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,18.7,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5777,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,751.7,Overall,Overall,6658078.0,"36,420","94,326"
5778,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,169.2,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5779,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,243.8,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5780,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5781,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,35.6,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5782,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,19.5,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5783,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,50.0,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5784,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,84.9,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5785,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,153.2,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5786,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,920.5,Gender,Male,6658078.0,"36,420","94,326"
5787,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,237.6,Gender,Male,6658078.0,"36,420","94,326"
5788,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5789,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,48.5,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5790,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,234.4,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5791,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,145.4,Gender,Male,6658078.0,"36,420","94,326"
5792,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,136.4,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5793,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5794,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,321.2,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5795,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,343.5,Gender,Male,6658078.0,"36,420","94,326"
5796,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5797,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,325.3,Race/Ethnicity,Hispanic,6658078.0,"36,420","94,326"
5798,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5799,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from diseases of the heart,28.7,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5800,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,274.3,Gender,Female,6658078.0,"36,420","94,326"
5801,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,8.8,Gender,Male,6658078.0,"36,420","94,326"
5802,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5803,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from total cardiovascular diseases,286.4,Overall,Overall,6658078.0,"36,420","94,326"
5804,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,104.1,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5805,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,184.0,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5806,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Premature mortality among adults aged 45-64 years,1064.0,Race/Ethnicity,"Black, non-Hispanic",6658078.0,"36,420","94,326"
5807,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from coronary heart disease,95.8,Gender,Female,6658078.0,"36,420","94,326"
5808,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,12.6,Race/Ethnicity,Asian or Pacific Islander,6658078.0,"36,420","94,326"
5809,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality from heart failure,135.1,Overall,Overall,6658078.0,"36,420","94,326"
5810,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,American Indian or Alaska Native,6658078.0,"36,420","94,326"
5811,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,10.3,Race/Ethnicity,"White, non-Hispanic",6658078.0,"36,420","94,326"
5812,IN,2017,131660934,5848882,396793,180607,16,12,3,0.042524227000000005,Asthma mortality rate,11.7,Overall,Overall,6658078.0,"36,420","94,326"
5813,IN,2018,139107023,6020561,422149,281807,16,12,2,0.041615262,,,,,6695497.0,"36,420","94,326"
5814,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",74.2,Gender,Female,6537703.0,"36,420","94,326"
5815,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",15.4,Race/Ethnicity,Asian or Pacific Islander,6537703.0,"36,420","94,326"
5816,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",82.7,Overall,Overall,6537703.0,"36,420","94,326"
5817,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",91.5,Gender,Male,6537703.0,"36,420","94,326"
5818,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",59.4,Race/Ethnicity,"Black, non-Hispanic",6537703.0,"36,420","94,326"
5819,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",12.7,Race/Ethnicity,Hispanic,6537703.0,"36,420","94,326"
5820,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",12.1,Race/Ethnicity,American Indian or Alaska Native,6537703.0,"36,420","94,326"
5821,IN,2012,148643197,6469836,651622,200140,13,17,5,0.04929214,"Cancer of the lung and bronchus, incidence",92.6,Race/Ethnicity,"White, non-Hispanic",6537703.0,"36,420","94,326"
5822,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",13.5,Race/Ethnicity,Asian or Pacific Islander,6568713.0,"36,420","94,326"
5823,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",83.9,Overall,Overall,6568713.0,"36,420","94,326"
5824,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",12.8,Race/Ethnicity,Hispanic,6568713.0,"36,420","94,326"
5825,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",92.6,Gender,Male,6568713.0,"36,420","94,326"
5826,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",14.5,Race/Ethnicity,American Indian or Alaska Native,6568713.0,"36,420","94,326"
5827,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",75.5,Gender,Female,6568713.0,"36,420","94,326"
5828,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",94.3,Race/Ethnicity,"White, non-Hispanic",6568713.0,"36,420","94,326"
5829,IN,2013,149530450,6500050,508009,203444,16,21,5,0.044382614,"Cancer of the lung and bronchus, incidence",59.2,Race/Ethnicity,"Black, non-Hispanic",6568713.0,"36,420","94,326"
5830,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",58.3,Race/Ethnicity,"Black, non-Hispanic",6593644.0,"36,420","94,326"
5831,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",84.1,Overall,Overall,6593644.0,"36,420","94,326"
5832,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",76.0,Gender,Female,6593644.0,"36,420","94,326"
5833,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",12.8,Race/Ethnicity,Asian or Pacific Islander,6593644.0,"36,420","94,326"
5834,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",17.6,Race/Ethnicity,American Indian or Alaska Native,6593644.0,"36,420","94,326"
5835,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",12.8,Race/Ethnicity,Hispanic,6593644.0,"36,420","94,326"
5836,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",92.5,Gender,Male,6593644.0,"36,420","94,326"
5837,IN,2014,153565562,6450999,523286,303211,15,19,5,0.043502514000000006,"Cancer of the lung and bronchus, incidence",95.0,Race/Ethnicity,"White, non-Hispanic",6593644.0,"36,420","94,326"
5838,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,11.4,Overall,Overall,3076190.0,"56,273","145,746"
5839,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,9.9,Race/Ethnicity,"White, non-Hispanic",3076190.0,"56,273","145,746"
5840,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native,3076190.0,"56,273","145,746"
5841,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,,Gender,Male,3076190.0,"56,273","145,746"
5842,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,14.2,Gender,Female,3076190.0,"56,273","145,746"
5843,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic",3076190.0,"56,273","145,746"
5844,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander,3076190.0,"56,273","145,746"
5845,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Asthma mortality rate,,Race/Ethnicity,Hispanic,3076190.0,"56,273","145,746"
5846,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,137.3,Overall,Overall,3076190.0,"56,273","145,746"
5847,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from coronary heart disease,142.9,Gender,Female,3076190.0,"56,273","145,746"
5848,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from heart failure,35.9,Race/Ethnicity,"Black, non-Hispanic",3076190.0,"56,273","145,746"
5849,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from diseases of the heart,109.4,Race/Ethnicity,"Black, non-Hispanic",3076190.0,"56,273","145,746"
5850,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from coronary heart disease,,Race/Ethnicity,American Indian or Alaska Native,3076190.0,"56,273","145,746"
5851,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from coronary heart disease,79.1,Race/Ethnicity,"Black, non-Hispanic",3076190.0,"56,273","145,746"
5852,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from diseases of the heart,232.1,Gender,Male,3076190.0,"56,273","145,746"
5853,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander,3076190.0,"56,273","145,746"
5854,IA,2012,53709131,1766165,1171230,0,10,10,6,0.046629822,Mortality from total cardiovascular diseases,287.0,Gender,Male,3076190.0,"56,273","145,746"
