,Year,STATE,Question,DataValue,StratificationCategory1,Stratification1
536,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,74.0,Gender,Female
537,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,155.8,Race/Ethnicity,"White, non-Hispanic"
538,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,124.0,Race/Ethnicity,American Indian or Alaska Native
539,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
540,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,73.2,Overall,Overall
541,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,165.8,Gender,Male
542,2015,AK,Mortality from total cardiovascular diseases,150.3,Overall,Overall
543,2015,AK,Mortality from diseases of the heart,56.2,Race/Ethnicity,Asian or Pacific Islander
544,2015,AK,Asthma mortality rate,,Overall,Overall
545,2015,AK,Asthma mortality rate,,Gender,Male
546,2015,AK,Mortality from heart failure,59.3,Race/Ethnicity,"White, non-Hispanic"
547,2015,AK,Mortality from diseases of the heart,114.6,Overall,Overall
548,2015,AK,Premature mortality among adults aged 45-64 years,786.7,Gender,Male
549,2015,AK,Mortality from heart failure,,Race/Ethnicity,"Black, non-Hispanic"
550,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
551,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
552,2015,AK,Premature mortality among adults aged 45-64 years,520.8,Gender,Female
553,2015,AK,Mortality from coronary heart disease,71.6,Race/Ethnicity,"White, non-Hispanic"
554,2015,AK,Premature mortality among adults aged 45-64 years,609.5,Race/Ethnicity,"White, non-Hispanic"
555,2015,AK,Mortality from diseases of the heart,134.2,Gender,Male
556,2015,AK,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
557,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
558,2015,AK,Mortality from total cardiovascular diseases,168.6,Gender,Male
559,2015,AK,Mortality from coronary heart disease,88.8,Race/Ethnicity,American Indian or Alaska Native
560,2015,AK,Mortality from diseases of the heart,149.4,Race/Ethnicity,American Indian or Alaska Native
561,2015,AK,Mortality from total cardiovascular diseases,95.3,Race/Ethnicity,Asian or Pacific Islander
562,2015,AK,Premature mortality among adults aged 45-64 years,658.8,Overall,Overall
563,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,149.6,Gender,Female
564,2015,AK,Mortality from total cardiovascular diseases,189.6,Race/Ethnicity,American Indian or Alaska Native
565,2015,AK,Mortality from total cardiovascular diseases,163.4,Race/Ethnicity,"White, non-Hispanic"
566,2015,AK,Asthma mortality rate,,Race/Ethnicity,"White, non-Hispanic"
567,2015,AK,Mortality from total cardiovascular diseases,,Race/Ethnicity,Hispanic
568,2015,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
569,2015,AK,Mortality from coronary heart disease,66.4,Overall,Overall
570,2015,AK,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
571,2015,AK,Mortality from coronary heart disease,86.9,Gender,Male
572,2015,AK,Premature mortality among adults aged 45-64 years,1199.0,Race/Ethnicity,American Indian or Alaska Native
573,2015,AK,Asthma mortality rate,,Race/Ethnicity,Hispanic
574,2015,AK,Mortality from heart failure,52.8,Overall,Overall
575,2015,AK,Mortality from total cardiovascular diseases,129.9,Gender,Female
576,2015,AK,Mortality from diseases of the heart,124.2,Race/Ethnicity,"White, non-Hispanic"
577,2015,AK,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic"
578,2015,AK,Mortality from heart failure,,Race/Ethnicity,Hispanic
579,2015,AK,Mortality from coronary heart disease,43.5,Gender,Female
580,2015,AK,Mortality from diseases of the heart,92.7,Gender,Female
581,2015,AK,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
582,2015,AK,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,Hispanic
583,2015,AK,Mortality from diseases of the heart,,Race/Ethnicity,Hispanic
584,2015,AK,Premature mortality among adults aged 45-64 years,708.6,Race/Ethnicity,"Black, non-Hispanic"
585,2015,AK,Mortality from heart failure,50.4,Gender,Male
586,2015,AK,Mortality from total cardiovascular diseases,99.2,Race/Ethnicity,"Black, non-Hispanic"
587,2015,AK,Premature mortality among adults aged 45-64 years,346.2,Race/Ethnicity,Asian or Pacific Islander
588,2015,AK,Mortality from coronary heart disease,,Race/Ethnicity,"Black, non-Hispanic"
589,2015,AK,Mortality from diseases of the heart,87.2,Race/Ethnicity,"Black, non-Hispanic"
590,2015,AK,Mortality from heart failure,55.5,Gender,Female
591,2015,AK,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
592,2015,AK,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
593,2015,AK,Asthma mortality rate,,Gender,Female
594,2015,AK,Mortality from heart failure,62.3,Race/Ethnicity,American Indian or Alaska Native
595,2014,AK,Asthma mortality rate,,Gender,Male
596,2014,AK,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
597,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,121.5,Race/Ethnicity,American Indian or Alaska Native
598,2014,AK,Asthma mortality rate,,Gender,Female
599,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
600,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,147.7,Race/Ethnicity,"White, non-Hispanic"
601,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
602,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,72.7,Gender,Female
603,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,69.7,Race/Ethnicity,"White, non-Hispanic"
604,2014,AK,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
605,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,66.6,Gender,Male
606,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
607,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
608,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,69.6,Overall,Overall
609,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,150.4,Overall,Overall
610,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,167.0,Gender,Male
611,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,266.8,Race/Ethnicity,American Indian or Alaska Native
612,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
613,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,132.8,Gender,Female
614,2014,AK,Asthma mortality rate,,Race/Ethnicity,Hispanic
615,2014,AK,Mortality from total cardiovascular diseases,79.2,Race/Ethnicity,Asian or Pacific Islander
616,2014,AK,Mortality from heart failure,52.7,Gender,Male
617,2014,AK,Mortality from coronary heart disease,81.8,Gender,Male
618,2014,AK,Mortality from total cardiovascular diseases,160.6,Gender,Male
619,2014,AK,Mortality from diseases of the heart,134.3,Race/Ethnicity,American Indian or Alaska Native
620,2014,AK,Mortality from coronary heart disease,61.6,Overall,Overall
621,2014,AK,Mortality from coronary heart disease,71.0,Race/Ethnicity,American Indian or Alaska Native
622,2014,AK,Mortality from coronary heart disease,70.1,Race/Ethnicity,"White, non-Hispanic"
623,2014,AK,Asthma mortality rate,,Race/Ethnicity,"White, non-Hispanic"
624,2014,AK,Mortality from diseases of the heart,,Race/Ethnicity,Hispanic
625,2014,AK,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
626,2014,AK,Mortality from coronary heart disease,39.2,Gender,Female
627,2014,AK,Mortality from diseases of the heart,83.8,Gender,Female
628,2014,AK,Mortality from heart failure,53.9,Overall,Overall
629,2014,AK,Mortality from diseases of the heart,126.3,Gender,Male
630,2014,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
631,2014,AK,Mortality from heart failure,72.7,Race/Ethnicity,American Indian or Alaska Native
632,2014,AK,Mortality from heart failure,,Race/Ethnicity,Hispanic
633,2014,AK,Mortality from heart failure,,Race/Ethnicity,"Black, non-Hispanic"
634,2014,AK,Mortality from diseases of the heart,116.8,Race/Ethnicity,"White, non-Hispanic"
635,2014,AK,Mortality from diseases of the heart,,Race/Ethnicity,"Black, non-Hispanic"
636,2014,AK,Mortality from diseases of the heart,106.1,Overall,Overall
637,2014,AK,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
638,2014,AK,Mortality from heart failure,55.2,Gender,Female
639,2014,AK,Mortality from total cardiovascular diseases,112.5,Gender,Female
640,2014,AK,Mortality from heart failure,59.6,Race/Ethnicity,"White, non-Hispanic"
641,2014,AK,Mortality from total cardiovascular diseases,176.2,Race/Ethnicity,American Indian or Alaska Native
642,2014,AK,Mortality from coronary heart disease,,Race/Ethnicity,"Black, non-Hispanic"
643,2014,AK,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic"
644,2014,AK,Mortality from total cardiovascular diseases,69.1,Race/Ethnicity,"Black, non-Hispanic"
645,2014,AK,Mortality from total cardiovascular diseases,149.9,Race/Ethnicity,"White, non-Hispanic"
646,2014,AK,Mortality from total cardiovascular diseases,,Race/Ethnicity,Hispanic
647,2014,AK,Mortality from diseases of the heart,54.6,Race/Ethnicity,Asian or Pacific Islander
648,2014,AK,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
649,2014,AK,Mortality from total cardiovascular diseases,137.8,Overall,Overall
650,2014,AK,Premature mortality among adults aged 45-64 years,802.6,Gender,Male
651,2014,AK,Premature mortality among adults aged 45-64 years,478.9,Gender,Female
652,2014,AK,Premature mortality among adults aged 45-64 years,603.5,Race/Ethnicity,"White, non-Hispanic"
653,2014,AK,Premature mortality among adults aged 45-64 years,362.8,Race/Ethnicity,Asian or Pacific Islander
654,2014,AK,Premature mortality among adults aged 45-64 years,1112.6,Race/Ethnicity,American Indian or Alaska Native
655,2014,AK,Premature mortality among adults aged 45-64 years,647.3,Overall,Overall
656,2014,AK,Premature mortality among adults aged 45-64 years,477.1,Race/Ethnicity,Hispanic
657,2013,AK,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
658,2013,AK,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
659,2013,AK,Asthma mortality rate,,Gender,Female
660,2013,AK,Asthma mortality rate,,Overall,Overall
661,2013,AK,Asthma mortality rate,,Race/Ethnicity,"White, non-Hispanic"
662,2014,AK,Premature mortality among adults aged 45-64 years,548.3,Race/Ethnicity,"Black, non-Hispanic"
663,2013,AK,Asthma mortality rate,,Gender,Male
664,2013,AK,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic"
665,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
666,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,67.5,Gender,Male
667,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,154.7,Gender,Female
668,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
669,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,160.0,Overall,Overall
670,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,107.2,Race/Ethnicity,American Indian or Alaska Native
671,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,70.2,Overall,Overall
672,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,244.3,Race/Ethnicity,American Indian or Alaska Native
673,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,73.0,Gender,Female
674,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
675,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
676,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
677,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,74.2,Race/Ethnicity,"White, non-Hispanic"
678,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,165.0,Gender,Male
679,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,166.2,Race/Ethnicity,"White, non-Hispanic"
680,2013,AK,Mortality from total cardiovascular diseases,80.8,Race/Ethnicity,Asian or Pacific Islander
681,2013,AK,Mortality from heart failure,44.6,Overall,Overall
682,2013,AK,Mortality from heart failure,67.7,Race/Ethnicity,American Indian or Alaska Native
683,2013,AK,Mortality from total cardiovascular diseases,91.1,Race/Ethnicity,"Black, non-Hispanic"
684,2013,AK,Mortality from coronary heart disease,57.2,Race/Ethnicity,"White, non-Hispanic"
685,2013,AK,Mortality from heart failure,47.2,Gender,Female
686,2013,AK,Mortality from total cardiovascular diseases,131.0,Overall,Overall
687,2013,AK,Mortality from total cardiovascular diseases,,Race/Ethnicity,Hispanic
688,2013,AK,Mortality from heart failure,,Race/Ethnicity,"Black, non-Hispanic"
689,2013,AK,Mortality from diseases of the heart,72.4,Gender,Female
690,2013,AK,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
691,2013,AK,Mortality from diseases of the heart,133.8,Race/Ethnicity,American Indian or Alaska Native
692,2013,AK,Mortality from heart failure,42.3,Gender,Male
693,2013,AK,Mortality from coronary heart disease,32.9,Gender,Female
694,2013,AK,Mortality from diseases of the heart,100.5,Race/Ethnicity,"White, non-Hispanic"
695,2013,AK,Mortality from heart failure,,Race/Ethnicity,Hispanic
696,2013,AK,Mortality from total cardiovascular diseases,147.6,Gender,Male
697,2013,AK,Mortality from coronary heart disease,70.0,Gender,Male
698,2013,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
699,2013,AK,Mortality from diseases of the heart,69.9,Race/Ethnicity,"Black, non-Hispanic"
700,2013,AK,Mortality from diseases of the heart,,Race/Ethnicity,Hispanic
701,2013,AK,Mortality from coronary heart disease,60.0,Race/Ethnicity,American Indian or Alaska Native
702,2013,AK,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
703,2013,AK,Mortality from heart failure,45.4,Race/Ethnicity,"White, non-Hispanic"
704,2013,AK,Mortality from total cardiovascular diseases,178.4,Race/Ethnicity,American Indian or Alaska Native
705,2013,AK,Mortality from diseases of the heart,96.0,Overall,Overall
706,2013,AK,Mortality from diseases of the heart,56.9,Race/Ethnicity,Asian or Pacific Islander
707,2013,AK,Mortality from total cardiovascular diseases,138.0,Race/Ethnicity,"White, non-Hispanic"
708,2013,AK,Mortality from coronary heart disease,52.4,Overall,Overall
709,2013,AK,Mortality from diseases of the heart,117.5,Gender,Male
710,2013,AK,Mortality from total cardiovascular diseases,112.7,Gender,Female
711,2013,AK,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
712,2013,AK,Mortality from coronary heart disease,,Race/Ethnicity,"Black, non-Hispanic"
713,2013,AK,Premature mortality among adults aged 45-64 years,336.0,Race/Ethnicity,Asian or Pacific Islander
714,2013,AK,Premature mortality among adults aged 45-64 years,824.7,Race/Ethnicity,"Black, non-Hispanic"
715,2013,AK,Premature mortality among adults aged 45-64 years,383.9,Race/Ethnicity,Hispanic
716,2013,AK,Premature mortality among adults aged 45-64 years,756.1,Gender,Male
717,2013,AK,Premature mortality among adults aged 45-64 years,1154.5,Race/Ethnicity,American Indian or Alaska Native
718,2013,AK,Premature mortality among adults aged 45-64 years,629.1,Overall,Overall
719,2013,AK,Premature mortality among adults aged 45-64 years,490.7,Gender,Female
720,2013,AK,Premature mortality among adults aged 45-64 years,565.1,Race/Ethnicity,"White, non-Hispanic"
721,2012,AK,Mortality from heart failure,56.3,Gender,Female
722,2012,AK,Asthma mortality rate,,Race/Ethnicity,Hispanic
723,2012,AK,Asthma mortality rate,,Race/Ethnicity,"White, non-Hispanic"
724,2012,AK,Asthma mortality rate,,Overall,Overall
725,2012,AK,Asthma mortality rate,,Gender,Male
726,2012,AK,Asthma mortality rate,,Gender,Female
727,2012,AK,Asthma mortality rate,,Race/Ethnicity,Asian or Pacific Islander
728,2012,AK,Asthma mortality rate,,Race/Ethnicity,American Indian or Alaska Native
729,2012,AK,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic"
730,2012,AK,Mortality from coronary heart disease,35.7,Gender,Female
731,2012,AK,Mortality from heart failure,50.3,Overall,Overall
732,2012,AK,Mortality from coronary heart disease,,Race/Ethnicity,Hispanic
733,2012,AK,Mortality from diseases of the heart,46.9,Race/Ethnicity,Asian or Pacific Islander
734,2012,AK,Premature mortality among adults aged 45-64 years,706.7,Gender,Male
735,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,72.0,Gender,Male
736,2012,AK,Mortality from diseases of the heart,117.5,Gender,Male
737,2012,AK,Premature mortality among adults aged 45-64 years,588.7,Overall,Overall
738,2012,AK,Mortality from diseases of the heart,74.2,Gender,Female
739,2012,AK,Mortality from diseases of the heart,110.8,Race/Ethnicity,American Indian or Alaska Native
740,2012,AK,Mortality from heart failure,,Race/Ethnicity,Hispanic
741,2012,AK,Mortality from heart failure,66.5,Race/Ethnicity,American Indian or Alaska Native
742,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,172.3,Gender,Male
743,2012,AK,Mortality from coronary heart disease,63.6,Race/Ethnicity,"White, non-Hispanic"
744,2012,AK,Mortality from diseases of the heart,63.0,Race/Ethnicity,"Black, non-Hispanic"
745,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
746,2012,AK,Mortality from heart failure,44.9,Gender,Male
747,2012,AK,Mortality from heart failure,54.3,Race/Ethnicity,"White, non-Hispanic"
748,2012,AK,Mortality from total cardiovascular diseases,149.1,Race/Ethnicity,American Indian or Alaska Native
749,2012,AK,Premature mortality among adults aged 45-64 years,328.8,Race/Ethnicity,Asian or Pacific Islander
750,2012,AK,Premature mortality among adults aged 45-64 years,,Race/Ethnicity,Hispanic
751,2012,AK,Premature mortality among adults aged 45-64 years,1052.9,Race/Ethnicity,American Indian or Alaska Native
752,2012,AK,Mortality from coronary heart disease,75.8,Gender,Male
753,2012,AK,Mortality from total cardiovascular diseases,78.7,Race/Ethnicity,"Black, non-Hispanic"
754,2012,AK,Mortality from diseases of the heart,108.0,Race/Ethnicity,"White, non-Hispanic"
755,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
756,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,60.7,Gender,Female
757,2012,AK,Mortality from heart failure,,Race/Ethnicity,Asian or Pacific Islander
758,2012,AK,Mortality from coronary heart disease,,Race/Ethnicity,"Black, non-Hispanic"
759,2012,AK,Mortality from diseases of the heart,,Race/Ethnicity,Hispanic
760,2012,AK,Mortality from total cardiovascular diseases,145.2,Race/Ethnicity,"White, non-Hispanic"
761,2012,AK,Mortality from coronary heart disease,,Race/Ethnicity,Asian or Pacific Islander
762,2012,AK,Mortality from coronary heart disease,61.3,Race/Ethnicity,American Indian or Alaska Native
763,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
764,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,66.5,Overall,Overall
765,2012,AK,Mortality from total cardiovascular diseases,,Race/Ethnicity,Hispanic
766,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,60.8,Race/Ethnicity,"White, non-Hispanic"
767,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,114.9,Race/Ethnicity,American Indian or Alaska Native
768,2012,AK,Mortality from coronary heart disease,56.6,Overall,Overall
769,2012,AK,Premature mortality among adults aged 45-64 years,459.6,Gender,Female
770,2012,AK,Mortality from diseases of the heart,96.8,Overall,Overall
771,2012,AK,Premature mortality among adults aged 45-64 years,755.3,Race/Ethnicity,"Black, non-Hispanic"
772,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,277.0,Race/Ethnicity,American Indian or Alaska Native
773,2012,AK,Mortality from total cardiovascular diseases,73.2,Race/Ethnicity,Asian or Pacific Islander
774,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,139.4,Gender,Female
775,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Asian or Pacific Islander
776,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,,Race/Ethnicity,Hispanic
777,2012,AK,Mortality from heart failure,,Race/Ethnicity,"Black, non-Hispanic"
778,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,142.3,Race/Ethnicity,"White, non-Hispanic"
779,2012,AK,Mortality from total cardiovascular diseases,149.3,Gender,Male
780,2012,AK,Premature mortality among adults aged 45-64 years,538.7,Race/Ethnicity,"White, non-Hispanic"
781,2012,AK,Mortality from total cardiovascular diseases,130.6,Overall,Overall
782,2012,AK,"Invasive cancer (all sites combined), incidence",223.9,Race/Ethnicity,"Black, non-Hispanic"
783,2012,AK,"Invasive cancer (all sites combined), incidence",373.2,Overall,Overall
784,2012,AK,"Invasive cancer (all sites combined), incidence",146.5,Race/Ethnicity,Hispanic
785,2012,AK,"Invasive cancer (all sites combined), incidence",228.4,Race/Ethnicity,Asian or Pacific Islander
786,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,,Race/Ethnicity,"Black, non-Hispanic"
787,2012,AK,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,156.4,Overall,Overall
788,2012,AK,"Invasive cancer (all sites combined), incidence",412.9,Race/Ethnicity,"White, non-Hispanic"
789,2012,AK,"Invasive cancer (all sites combined), incidence",364.2,Gender,Male
790,2012,AK,Mortality from total cardiovascular diseases,110.2,Gender,Female
791,2012,AK,"Invasive cancer (all sites combined), incidence",383.1,Gender,Female
792,2012,AK,"Cancer of the lung and bronchus, incidence",47.3,Overall,Overall
793,2012,AK,"Cancer of the lung and bronchus, incidence",11.1,Race/Ethnicity,Hispanic
794,2012,AK,"Cancer of the lung and bronchus, incidence",57.6,Race/Ethnicity,American Indian or Alaska Native
795,2012,AK,"Cancer of the lung and bronchus, incidence",43.9,Gender,Female
796,2012,AK,"Cancer of the lung and bronchus, incidence",27.5,Race/Ethnicity,Asian or Pacific Islander
797,2012,AK,"Cancer of the lung and bronchus, incidence",51.5,Race/Ethnicity,"White, non-Hispanic"
798,2012,AK,"Cancer of the lung and bronchus, incidence",24.9,Race/Ethnicity,"Black, non-Hispanic"
799,2012,AK,"Cancer of the lung and bronchus, incidence",50.4,Gender,Male
800,2017,AZ,Asthma mortality rate,17.3,Gender,Female
801,2016,AZ,Asthma mortality rate,11.6,Gender,Male
802,2016,AZ,Asthma mortality rate,,Race/Ethnicity,"Black, non-Hispanic"
803,2016,AZ,Mortality from total cardiovascular diseases,253.4,Gender,Male
804,2016,AZ,Mortality from diseases of the heart,197.3,Gender,Male
805,2016,AZ,Premature mortality among adults aged 45-64 years,467.6,Race/Ethnicity,Hispanic
806,2012,AZ,Asthma mortality rate,9.5,Gender,Male
807,2015,AZ,Premature mortality among adults aged 45-64 years,801.3,Gender,Male
808,2015,AZ,Mortality from total cardiovascular diseases,245.3,Gender,Male
809,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,160.5,Race/Ethnicity,"White, non-Hispanic"
810,2017,AZ,Mortality from heart failure,77.3,Gender,Female
811,2017,AZ,Mortality from coronary heart disease,161.5,Race/Ethnicity,"White, non-Hispanic"
812,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,108.8,Race/Ethnicity,"Black, non-Hispanic"
813,2017,AZ,Mortality from coronary heart disease,70.7,Race/Ethnicity,American Indian or Alaska Native
814,2017,AZ,Mortality from diseases of the heart,202.0,Gender,Male
815,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,129.0,Gender,Male
816,2017,AZ,Mortality from heart failure,25.6,Race/Ethnicity,Asian or Pacific Islander
817,2017,AZ,Mortality from coronary heart disease,39.1,Race/Ethnicity,Hispanic
818,2017,AZ,Mortality from heart failure,55.0,Race/Ethnicity,American Indian or Alaska Native
819,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,35.1,Race/Ethnicity,Hispanic
820,2017,AZ,Mortality from heart failure,123.9,Race/Ethnicity,"White, non-Hispanic"
821,2017,AZ,Mortality from diseases of the heart,63.1,Race/Ethnicity,Asian or Pacific Islander
822,2017,AZ,Mortality from total cardiovascular diseases,258.5,Gender,Male
823,2017,AZ,Premature mortality among adults aged 45-64 years,1047.0,Race/Ethnicity,American Indian or Alaska Native
824,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,206.5,Gender,Female
825,2017,AZ,Premature mortality among adults aged 45-64 years,463.2,Gender,Female
826,2017,AZ,Mortality from heart failure,46.0,Race/Ethnicity,"Black, non-Hispanic"
827,2017,AZ,Mortality from coronary heart disease,66.7,Race/Ethnicity,"Black, non-Hispanic"
828,2017,AZ,Mortality from diseases of the heart,111.3,Race/Ethnicity,American Indian or Alaska Native
829,2017,AZ,Mortality from diseases of the heart,151.7,Gender,Female
830,2017,AZ,Premature mortality among adults aged 45-64 years,807.4,Gender,Male
831,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,279.7,Race/Ethnicity,"White, non-Hispanic"
832,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,100.4,Race/Ethnicity,American Indian or Alaska Native
833,2017,AZ,Mortality from total cardiovascular diseases,217.5,Gender,Female
834,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,66.0,Race/Ethnicity,Hispanic
835,2017,AZ,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,125.4,Gender,Female
836,2017,AZ,Premature mortality among adults aged 45-64 years,630.4,Overall,Overall
